standard_number,title,descriptive_title,year,id,source,detail_url,pdf_url
IS 17945 Amd. 1,IS 17945 Amd. 1 : 2025,IS 17945 Amd. 1 : 2025,2025,53866,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17945+Amd.+1&id=53866,https://archive.org/search?query=title%3A%22IS%2017945%20Amd.%201%22
IS 17946,IS 17946 : 2022,IS 17946 : 2022,2022,46462,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17946&id=46462,https://archive.org/search?query=title%3A%22IS%2017946%22
IS 17948 : Part 1,IS 17948 : Part 1 : 2022,IS 17948 : Part 1 : 2022,2022,46568,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17948+%3a+Part+1&id=46568,https://archive.org/search?query=title%3A%22IS%2017948%20%3A%20Part%201%22
IS 17948 : Part 2,IS 17948 : Part 2 : 2023,IS 17948 : Part 2 : 2023,2023,46766,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17948+%3a+Part+2&id=46766,https://archive.org/search?query=title%3A%22IS%2017948%20%3A%20Part%202%22
IS 17948 : Part 3,IS 17948 : Part 3 : 2022,IS 17948 : Part 3 : 2022,2022,46513,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17948+%3a+Part+3&id=46513,https://archive.org/search?query=title%3A%22IS%2017948%20%3A%20Part%203%22
IS 17948 : Part 4,IS 17948 : Part 4 : 2022,IS 17948 : Part 4 : 2022,2022,46463,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17948+%3a+Part+4&id=46463,https://archive.org/search?query=title%3A%22IS%2017948%20%3A%20Part%204%22
IS 17948 : Part 5,IS 17948 : Part 5 : 2022,IS 17948 : Part 5 : 2022,2022,46514,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17948+%3a+Part+5&id=46514,https://archive.org/search?query=title%3A%22IS%2017948%20%3A%20Part%205%22
IS 17949 : Part 2,IS 17949 : Part 2 : 2022,IS 17949 : Part 2 : 2022,2022,46464,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17949+%3a+Part+2&id=46464,https://archive.org/search?query=title%3A%22IS%2017949%20%3A%20Part%202%22
IS 1795,IS 1795 : 1982,IS 1795 : 1982,1982,8332,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+1795&id=8332,https://archive.org/search?query=title%3A%22IS%201795%22
IS 17950 : Part 1,IS 17950 : Part 1 : 2022,IS 17950 : Part 1 : 2022,2022,46515,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17950+%3a+Part+1&id=46515,https://archive.org/search?query=title%3A%22IS%2017950%20%3A%20Part%201%22
IS 17950 : Part 2,IS 17950 : Part 2 : 2022,IS 17950 : Part 2 : 2022,2022,46516,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17950+%3a+Part+2&id=46516,https://archive.org/search?query=title%3A%22IS%2017950%20%3A%20Part%202%22
IS 17950 : Part 3,IS 17950 : Part 3 : 2022,IS 17950 : Part 3 : 2022,2022,46517,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17950+%3a+Part+3&id=46517,https://archive.org/search?query=title%3A%22IS%2017950%20%3A%20Part%203%22
IS 17950 : Part 4,IS 17950 : Part 4 : 2022,IS 17950 : Part 4 : 2022,2022,46518,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17950+%3a+Part+4&id=46518,https://archive.org/search?query=title%3A%22IS%2017950%20%3A%20Part%204%22
IS 17950 : Part 5,IS 17950 : Part 5 : 2022,IS 17950 : Part 5 : 2022,2022,46519,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17950+%3a+Part+5&id=46519,https://archive.org/search?query=title%3A%22IS%2017950%20%3A%20Part%205%22
IS 17951,IS 17951 : 2023,IS 17951 : 2023,2023,47171,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17951&id=47171,https://archive.org/search?query=title%3A%22IS%2017951%22
IS 17952 : Part 1,IS 17952 : Part 1 : 2022,IS 17952 : Part 1 : 2022,2022,46520,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17952+%3a+Part+1&id=46520,https://archive.org/search?query=title%3A%22IS%2017952%20%3A%20Part%201%22
IS 17952 : Part 2,IS 17952 : Part 2 : 2022,IS 17952 : Part 2 : 2022,2022,46308,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17952+%3a+Part+2&id=46308,https://archive.org/search?query=title%3A%22IS%2017952%20%3A%20Part%202%22
IS 17952 : Part 3,IS 17952 : Part 3 : 2022,IS 17952 : Part 3 : 2022,2022,46521,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17952+%3a+Part+3&id=46521,https://archive.org/search?query=title%3A%22IS%2017952%20%3A%20Part%203%22
IS 17953,IS 17953 : 2023,IS 17953 : 2023,2023,47142,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17953&id=47142,https://archive.org/search?query=title%3A%22IS%2017953%22
IS 17954,IS 17954 : 2023,IS 17954 : 2023,2023,47172,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17954&id=47172,https://archive.org/search?query=title%3A%22IS%2017954%22
IS 17954 Amd. 1,IS 17954 Amd. 1 : 2023,IS 17954 Amd. 1 : 2023,2023,47759,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17954+Amd.+1&id=47759,https://archive.org/search?query=title%3A%22IS%2017954%20Amd.%201%22
IS 17954 Amd. 2,IS 17954 Amd. 2 : 2024,IS 17954 Amd. 2 : 2024,2024,51470,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17954+Amd.+2&id=51470,https://archive.org/search?query=title%3A%22IS%2017954%20Amd.%202%22
IS 17954 Amd. 3,IS 17954 Amd. 3 : 2026,IS 17954 Amd. 3 : 2026,2026,55204,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17954+Amd.+3&id=55204,https://archive.org/search?query=title%3A%22IS%2017954%20Amd.%203%22
IS 17955,IS 17955 : 2023,IS 17955 : 2023,2023,48615,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17955&id=48615,https://archive.org/search?query=title%3A%22IS%2017955%22
IS 17956,IS 17956 : 2023,IS 17956 : 2023,2023,47465,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17956&id=47465,https://archive.org/search?query=title%3A%22IS%2017956%22
IS 17957,IS 17957 : 2022,IS 17957 : 2022,2022,46617,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17957&id=46617,https://archive.org/search?query=title%3A%22IS%2017957%22
IS 17959,IS 17959 : 2023,IS 17959 : 2023,2023,47466,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17959&id=47466,https://archive.org/search?query=title%3A%22IS%2017959%22
IS 1796,IS 1796 : 2023,IS 1796 : 2023,2023,46954,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+1796&id=46954,https://archive.org/search?query=title%3A%22IS%201796%22
IS 17960,IS 17960 : 2022,IS 17960 : 2022,2022,46422,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17960&id=46422,https://archive.org/search?query=title%3A%22IS%2017960%22
IS 17961,IS 17961 : 2022,IS 17961 : 2022,2022,46423,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17961&id=46423,https://archive.org/search?query=title%3A%22IS%2017961%22
IS 17962,IS 17962 : 2022,IS 17962 : 2022,2022,46569,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17962&id=46569,https://archive.org/search?query=title%3A%22IS%2017962%22
IS 17963,IS 17963 : 2024,IS 17963 : 2024,2024,49391,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17963&id=49391,https://archive.org/search?query=title%3A%22IS%2017963%22
IS 17964 : Part 20,IS 17964 : Part 20 : 2023,IS 17964 : Part 20 : 2023,2023,47853,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17964+%3a+Part+20&id=47853,https://archive.org/search?query=title%3A%22IS%2017964%20%3A%20Part%2020%22
IS 17964 : Part 7,IS 17964 : Part 7 : 2025,IS 17964 : Part 7 : 2025,2025,53556,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17964+%3a+Part+7&id=53556,https://archive.org/search?query=title%3A%22IS%2017964%20%3A%20Part%207%22
IS 17967,IS 17967 : 2022,IS 17967 : 2022,2022,46452,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17967&id=46452,https://archive.org/search?query=title%3A%22IS%2017967%22
IS 17968,IS 17968 : 2022,IS 17968 : 2022,2022,46453,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17968&id=46453,https://archive.org/search?query=title%3A%22IS%2017968%22
IS 17969,IS 17969 : 2023,IS 17969 : 2023,2023,46767,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17969&id=46767,https://archive.org/search?query=title%3A%22IS%2017969%22
IS 1797,IS 1797 : 2017,IS 1797 : 2017,2017,8334,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+1797&id=8334,https://archive.org/search?query=title%3A%22IS%201797%22
IS 17972,IS 17972 : 2022,IS 17972 : 2022,2022,46570,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17972&id=46570,https://archive.org/search?query=title%3A%22IS%2017972%22
IS 17973,IS 17973 : 2022,IS 17973 : 2022,2022,46522,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17973&id=46522,https://archive.org/search?query=title%3A%22IS%2017973%22
IS 17974,IS 17974 : 2022,IS 17974 : 2022,2022,46571,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17974&id=46571,https://archive.org/search?query=title%3A%22IS%2017974%22
IS 17975,IS 17975 : 2022,IS 17975 : 2022,2022,46701,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17975&id=46701,https://archive.org/search?query=title%3A%22IS%2017975%22
IS 17977,IS 17977 : 2023,IS 17977 : 2023,2023,46768,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17977&id=46768,https://archive.org/search?query=title%3A%22IS%2017977%22
IS 17978,IS 17978 : 2022,IS 17978 : 2022,2022,46281,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17978&id=46281,https://archive.org/search?query=title%3A%22IS%2017978%22
IS 17979,IS 17979 : 2022,IS 17979 : 2022,2022,46282,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17979&id=46282,https://archive.org/search?query=title%3A%22IS%2017979%22
IS 1798,IS 1798 : 2022,IS 1798 : 2022: SPICES AND CONDIMENTS BLACK PEPPER WHOLE AND GROUND SPECIFICATION,2022,35368,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+1798&id=35368,https://archive.org/download/gov.in.is.1798.2022/gov.in.is.1798.2022.pdf
IS 17980,IS 17980 : 2022,IS 17980 : 2022,2022,46283,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17980&id=46283,https://archive.org/search?query=title%3A%22IS%2017980%22
IS 17981,IS 17981 : 2022,IS 17981 : 2022,2022,46465,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17981&id=46465,https://archive.org/search?query=title%3A%22IS%2017981%22
IS 17982,IS 17982 : 2022,IS 17982 : 2022,2022,46259,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17982&id=46259,https://archive.org/search?query=title%3A%22IS%2017982%22
IS 17983,IS 17983 : 2022,IS 17983 : 2022,2022,46392,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17983&id=46392,https://archive.org/search?query=title%3A%22IS%2017983%22
IS 17984 : Part 1,IS 17984 : Part 1 : 2024,IS 17984 : Part 1 : 2024,2024,49392,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17984+%3a+Part+1&id=49392,https://archive.org/search?query=title%3A%22IS%2017984%20%3A%20Part%201%22
IS 17984 : Part 2,IS 17984 : Part 2 : 2025,IS 17984 : Part 2 : 2025,2025,52281,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17984+%3a+Part+2&id=52281,https://archive.org/search?query=title%3A%22IS%2017984%20%3A%20Part%202%22
IS 17984 : Part 3,IS 17984 : Part 3 : 2024,IS 17984 : Part 3 : 2024,2024,50079,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17984+%3a+Part+3&id=50079,https://archive.org/search?query=title%3A%22IS%2017984%20%3A%20Part%203%22
IS 17984 : Part 4,IS 17984 : Part 4 : 2024,IS 17984 : Part 4 : 2024,2024,50391,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17984+%3a+Part+4&id=50391,https://archive.org/search?query=title%3A%22IS%2017984%20%3A%20Part%204%22
IS 17985,IS 17985 : 2022,IS 17985 : 2022,2022,46466,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17985&id=46466,https://archive.org/search?query=title%3A%22IS%2017985%22
IS 17986 : Part 1,IS 17986 : Part 1 : 2023,IS 17986 : Part 1 : 2023,2023,46925,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17986+%3a+Part+1&id=46925,https://archive.org/search?query=title%3A%22IS%2017986%20%3A%20Part%201%22
IS 17986 : Part 2,IS 17986 : Part 2 : 2022,IS 17986 : Part 2 : 2022,2022,46781,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17986+%3a+Part+2&id=46781,https://archive.org/search?query=title%3A%22IS%2017986%20%3A%20Part%202%22
IS 17986 : Part 3,IS 17986 : Part 3 : 2022,IS 17986 : Part 3 : 2022,2022,46782,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17986+%3a+Part+3&id=46782,https://archive.org/search?query=title%3A%22IS%2017986%20%3A%20Part%203%22
IS 17986 : Part 4,IS 17986 : Part 4 : 2023,IS 17986 : Part 4 : 2023,2023,46926,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17986+%3a+Part+4&id=46926,https://archive.org/search?query=title%3A%22IS%2017986%20%3A%20Part%204%22
IS 17988,IS 17988 : 2022,IS 17988 : 2022,2022,46247,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17988&id=46247,https://archive.org/search?query=title%3A%22IS%2017988%22
IS 1799,IS 1799 : 1981,IS 1799 : 1981,1981,8336,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+1799&id=8336,https://archive.org/search?query=title%3A%22IS%201799%22
IS 1799 Amd. 1,IS 1799 Amd. 1 : 1992,IS 1799 Amd. 1 : 1992,1992,26223,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+1799+Amd.+1&id=26223,https://archive.org/search?query=title%3A%22IS%201799%20Amd.%201%22
IS 1799 Amd. 2,IS 1799 Amd. 2 : 1998,IS 1799 Amd. 2 : 1998,1998,26224,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+1799+Amd.+2&id=26224,https://archive.org/search?query=title%3A%22IS%201799%20Amd.%202%22
IS 17990,IS 17990 : 2022,IS 17990 : 2022,2022,46260,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17990&id=46260,https://archive.org/search?query=title%3A%22IS%2017990%22
IS 17991,IS 17991 : 2022,IS 17991 : 2022,2022,46704,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17991&id=46704,https://archive.org/search?query=title%3A%22IS%2017991%22
IS 17992,IS 17992 : 2022,IS 17992 : 2022,2022,46393,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17992&id=46393,https://archive.org/search?query=title%3A%22IS%2017992%22
IS 17993 : Part 1,IS 17993 : Part 1 : 2022,IS 17993 : Part 1 : 2022,2022,46467,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17993+%3a+Part+1&id=46467,https://archive.org/search?query=title%3A%22IS%2017993%20%3A%20Part%201%22
IS 17994 : Part 1,IS 17994 : Part 1 : 2023,IS 17994 : Part 1 : 2023,2023,48212,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17994+%3a+Part+1&id=48212,https://archive.org/search?query=title%3A%22IS%2017994%20%3A%20Part%201%22
IS 17994 : Part 2,IS 17994 : Part 2 : 2023,IS 17994 : Part 2 : 2023,2023,48187,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17994+%3a+Part+2&id=48187,https://archive.org/search?query=title%3A%22IS%2017994%20%3A%20Part%202%22
IS 17994 : Part 3,IS 17994 : Part 3 : 2023,IS 17994 : Part 3 : 2023,2023,48188,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17994+%3a+Part+3&id=48188,https://archive.org/search?query=title%3A%22IS%2017994%20%3A%20Part%203%22
IS 17995,IS 17995 : 2022,IS 17995 : 2022,2022,46468,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17995&id=46468,https://archive.org/search?query=title%3A%22IS%2017995%22
IS 17996,IS 17996 : 2022,IS 17996 : 2022,2022,46572,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17996&id=46572,https://archive.org/search?query=title%3A%22IS%2017996%22
IS 17997,IS 17997 : 2022,IS 17997 : 2022,2022,46425,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17997&id=46425,https://archive.org/search?query=title%3A%22IS%2017997%22
IS 17998,IS 17998 : 2022,IS 17998 : 2022,2022,46523,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17998&id=46523,https://archive.org/search?query=title%3A%22IS%2017998%22
IS 17999,IS 17999 : 2022,IS 17999 : 2022,2022,46469,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+17999&id=46469,https://archive.org/search?query=title%3A%22IS%2017999%22
IS 180,IS 180 : 1984,IS 180 : 1984,1984,18772,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+180&id=18772,https://archive.org/search?query=title%3A%22IS%20180%22
IS 1800,IS 1800 : 1989,IS 1800 : 1989,1989,8338,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+1800&id=8338,https://archive.org/search?query=title%3A%22IS%201800%22
IS 18000,IS 18000 : 2020,IS 18000 : 2020: Unified Digital Infrastructure - ICT Reference Architecture ( UDI-ICTRA ),2020,33475,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+18000&id=33475,https://archive.org/download/gov.in.is.18000.2020/gov.in.is.18000.2020.pdf
IS 18001,IS 18001 : 2007,IS 18001 : 2007,2007,8339,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+18001&id=8339,https://archive.org/search?query=title%3A%22IS%2018001%22
IS 18002 : Part 1,IS 18002 : Part 1 : 2021,IS 18002 : Part 1 : 2021,2021,34100,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+18002+%3a+Part+1&id=34100,https://archive.org/search?query=title%3A%22IS%2018002%20%3A%20Part%201%22
IS 18003 : Part 1,IS 18003 : Part 1 : 2020,IS 18003 : Part 1 : 2020,2020,33476,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+18003+%3a+Part+1&id=33476,https://archive.org/search?query=title%3A%22IS%2018003%20%3A%20Part%201%22
IS 18003 : Part 2,IS 18003 : Part 2 : 2021,IS 18003 : Part 2 : 2021,2021,34099,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+18003+%3a+Part+2&id=34099,https://archive.org/search?query=title%3A%22IS%2018003%20%3A%20Part%202%22
IS 18003 : Part 4 : Sec 1,IS 18003 : Part 4 : Sec 1 : 2025,IS 18003 : Part 4 : Sec 1 : 2025,2025,53132,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+18003+%3a+Part+4+%3a+Sec+1&id=53132,https://archive.org/search?query=title%3A%22IS%2018003%20%3A%20Part%204%20%3A%20Sec%201%22
IS 18004 : Part 1,IS 18004 : Part 1 : 2021,IS 18004 : Part 1 : 2021,2021,34098,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+18004+%3a+Part+1&id=34098,https://archive.org/search?query=title%3A%22IS%2018004%20%3A%20Part%201%22
IS 18006 : Part 1,IS 18006 : Part 1 : 2021,IS 18006 : Part 1 : 2021,2021,34097,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+18006+%3a+Part+1&id=34097,https://archive.org/search?query=title%3A%22IS%2018006%20%3A%20Part%201%22
IS 18006 : Part 3 : Sec 1,IS 18006 : Part 3 : Sec 1 : 2021,IS 18006 : Part 3 : Sec 1 : 2021,2021,34096,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+18006+%3a+Part+3+%3a+Sec+1&id=34096,https://archive.org/search?query=title%3A%22IS%2018006%20%3A%20Part%203%20%3A%20Sec%201%22
