standard_number,title,descriptive_title,year,id,source,detail_url,pdf_url
IS 10001 Amd. 1,IS 10001 Amd. 1 : 1985,IS 10001 Amd. 1 : 1985,1985,24779,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10001+Amd.+1&id=24779,https://archive.org/search?query=title%3A%22IS%2010001%20Amd.%201%22
IS 10001 Amd. 2,IS 10001 Amd. 2 : 1985,IS 10001 Amd. 2 : 1985,1985,24780,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10001+Amd.+2&id=24780,https://archive.org/search?query=title%3A%22IS%2010001%20Amd.%202%22
IS 10001 Amd. 3,IS 10001 Amd. 3 : 1999,IS 10001 Amd. 3 : 1999,1999,24781,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10001+Amd.+3&id=24781,https://archive.org/search?query=title%3A%22IS%2010001%20Amd.%203%22
IS 10001 Amd. 4,IS 10001 Amd. 4 : 2002,IS 10001 Amd. 4 : 2002,2002,24782,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10001+Amd.+4&id=24782,https://archive.org/search?query=title%3A%22IS%2010001%20Amd.%204%22
IS 10001 Amd. 5,IS 10001 Amd. 5 : 2005,IS 10001 Amd. 5 : 2005,2005,24783,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10001+Amd.+5&id=24783,https://archive.org/search?query=title%3A%22IS%2010001%20Amd.%205%22
IS 10001 Amd. 6,IS 10001 Amd. 6 : 2010,IS 10001 Amd. 6 : 2010,2010,24784,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10001+Amd.+6&id=24784,https://archive.org/search?query=title%3A%22IS%2010001%20Amd.%206%22
IS 10002,IS 10002 : 1981,IS 10002 : 1981,1981,933,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10002&id=933,https://archive.org/search?query=title%3A%22IS%2010002%22
IS 10002 Amd. 1,IS 10002 Amd. 1 : 1999,IS 10002 Amd. 1 : 1999,1999,24791,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10002+Amd.+1&id=24791,https://archive.org/search?query=title%3A%22IS%2010002%20Amd.%201%22
IS 10002 Amd. 2,IS 10002 Amd. 2 : 2010,IS 10002 Amd. 2 : 2010,2010,24792,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10002+Amd.+2&id=24792,https://archive.org/search?query=title%3A%22IS%2010002%20Amd.%202%22
IS 10002 Amd. 3,IS 10002 Amd. 3 : 2023,IS 10002 Amd. 3 : 2023,2023,47606,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10002+Amd.+3&id=47606,https://archive.org/search?query=title%3A%22IS%2010002%20Amd.%203%22
